"FILARE","PIANTA","X","Y","Area","Perimetro","Roughness","MISSING","LAT","LON","dist_bound","L_moran_30","L_moran_50","L_moran_30_p","L_moran_50_r","Underperc","L_moran_5","L_moran_100","Line_res","candidate","pred_mglm","pred_rdtree"
1,77,611,1485,517,94.912,0.72121,0,43.07685796,10.6950412,1.50461752748912e-07,0.152958862046991,0.0932836122715811,0.134114483719145,0.0346593571473071,0,0.101240312241636,0.0693140536117916,-23.431367037911,0,0,0
1,78,600,1464,520,96.569,0.70072,0,43.07686493,10.69503754,7.44109882649373e-08,0.160243676503683,0.098691680908499,0.142906009309748,-0.0228391543395958,0,0.449569656939689,0.071251358856225,-19.1900727201469,0,0,0
1,79,590,1443,604,105.74,0.67884,0,43.0768719,10.69503422,3.0089512501977e-07,0.263069876818508,0.197296508124346,0.182737213949465,-0.0939125342405142,1,0.925302426187912,0.178806183546165,-100.833294875004,0,0,0
1,80,579,1422,650,106.47,0.72058,0,43.07687887,10.69503056,2.24844360535809e-07,0.359315281464998,0.161638557208546,0.164904669063818,0.0357357720295723,1,0.6473687958642,0.184142738020984,-145.091713460418,0,0,0
1,81,568,1401,552,97.74,0.72611,0,43.07688583,10.69502691,1.53128341024271e-07,0.16040734353807,0.0357777955476509,0.101036431666328,0.0360559914744461,0,0.466799985114517,0.0903907435434527,-47.1518886872288,0,0,0
1,82,557,1380,447,88.669,0.71445,0,43.0768928,10.69502325,7.70775781209228e-08,-0.0368706595057126,-0.00791442442312651,-0.0311609930951646,0.00753850006048162,0,-0.0383787967495973,-0.0200926326674954,54.7996192337241,0,0,0
1,83,547,1359,388,84.569,0.68175,1,43.07689977,10.69501993,3.03561711633304e-07,-0.155546721526044,-0.0864543141406751,-0.091311897773437,-0.0617192654589569,0,-0.246511577403231,-0.0675969928942245,105.362165568934,1,0,0
1,84,536,1338,404,83.841,0.72224,0,43.07690674,10.69501627,2.27510947149343e-07,-0.0971103100092629,-0.0796293481159877,-0.0934780685552961,0.0374169661506984,0,0.200269309175175,-0.0377360196717548,75.8899461700596,0,0,0
1,85,525,1317,439,84.326,0.7758,0,43.0769137,10.69501261,1.46896841609905e-07,-0.0238202090975204,-0.0133401107179967,-0.068184208847301,-0.0165964468055918,0,0.106335851422371,-0.0109647403722133,25.3286617040134,0,0,0
1,86,514,1296,432,89.255,0.68144,0,43.07692067,10.69500896,7.97441631538153e-08,0.000587358437671047,-0.0101926240949127,-0.00495308264259051,0.0208573401484482,0,0.0954154205500257,-0.00418759233142982,17.6240128377061,0,0,0
1,87,504,1275,461,91.154,0.6972,0,43.07692764,10.69500563,2.97330215461389e-07,0.00539659392542947,-0.00222790799435225,-0.000142481853504923,0.0106498638330862,0,0.0175848412691308,0.00114611384756283,-27.4063847084788,0,0,0
1,88,493,1254,458,88.083,0.7418,0,43.07693461,10.69500198,2.30177537005314e-07,0.0136261004476574,0.00208468107199623,0.0125417017728815,-0.0416835485404643,0,0.0244192654887958,0.00148715422931974,-43.1872588066001,0,0,0
1,89,482,1233,427,86.569,0.71601,0,43.07694157,10.69499832,1.49563431465876e-07,0.086536556766072,0.051678566498902,0.0471836375533723,-0.0170485435922497,0,0.0924316580612552,0.00761909203620681,-29.63642417841,0,0,0
1,90,471,1212,477,87.841,0.77685,0,43.07694854,10.69499466,7.35126653200765e-08,-0.0329645001421183,-0.0194800961186144,0.0465917944853986,-0.219984167721167,0,-0.105445806813532,-0.00259472724499282,-96.7052201283524,0,0,0
1,91,461,1191,383,88.083,0.62033,0,43.07695551,10.69499134,2.99996800494296e-07,0.279800312615897,0.150726839901525,0.0524229018652663,0.247315146571952,0,0.66256242209744,0.0261932302754631,-21.4837074833048,0,0,0
1,92,450,1170,268,74.426,0.60798,1,43.07696248,10.69498768,2.23946037590948e-07,0.710373530704115,0.292922787006962,0.412997997936738,0.288728853358125,0,1.80708810859335,0.132300067541602,75.4022167513299,0,0,0
1,93,439,1149,295,75.598,0.64865,0,43.07696944,10.69498403,1.52230018079396e-07,0.750635242439305,0.294299061875552,0.412625396077333,0.209973664021291,0,2.01730368481296,0.159243684907235,33.3266555701488,0,0,0
1,94,428,1128,284,83.012,0.5179,0,43.07697641,10.69498037,7.61792535954205e-08,0.798853552180395,0.422117940830132,0.224024459964781,0.771481447521923,0,3.1538974923273,0.25892535847272,30.219291681557,0,0,0
1,95,417,1107,318,79.841,0.62689,0,43.07698338,10.69497671,1.28490692072343e-10,0.63964855950837,0.432250312309969,0.301712432641506,0.527234423709619,0,2.80658262687542,0.266535046166148,-19.0684405397282,0,0,0
1,96,407,1086,332,76.426,0.71427,0,43.07699034,10.69497339,2.2204928481083e-07,0.648069076937978,0.384589375344835,0.381586493178984,-0.0427102136434082,0,2.57835381256961,0.253200246280833,-47.2798105996413,0,0,0
1,97,396,1065,235,70.184,0.59952,0,43.07699731,10.69496973,1.45998521907481e-07,1.18356003943146,0.723201404433283,0.533919531291734,0.833955550549467,0,4.72687158046072,0.443406663181931,38.841911995883,0,0,0
1,98,385,1044,219,69.698,0.56651,0,43.07700428,10.69496608,7.88458402089399e-08,1.24365180986501,0.953944581376514,0.536541725706718,1.14770819344459,0,4.97641802308217,0.467788722198912,50.2455709248905,0,0,0
1,99,374,1023,202,67.355,0.55952,0,43.07701125,10.69496242,2.79507572499393e-09,1.57510484010637,1.09513106412422,0.791560918449144,1.43924112995435,0,5.13736975785955,0.548623706466006,67.6811041338439,0,0,0
1,100,364,1002,217,73.355,0.50676,0,43.07701821,10.6949591,2.24715871424364e-07,1.71767222806058,0.919660667944427,0.721564602829157,1.78421382451935,0,4.9189976727126,0.523829352476774,54.1068835194341,0,0,0
1,101,353,981,325,77.255,0.68429,0,43.07702518,10.69495544,1.48665106940374e-07,1.02596431205182,0.656493026189703,0.578010149692152,0.249826103474246,0,2.66298502806261,0.309992614280065,-55.5187190216481,0,0,0
1,102,342,960,343,81.841,0.64353,0,43.07703215,10.69495178,7.26143440370403e-08,0.847721828054876,0.711201040319352,0.373094288496833,0.627356615238122,0,2.14732567120938,0.265536334365502,-77.7258358086358,0,0,0
1,103,331,939,323,75.841,0.70568,0,43.07703912,10.69494813,5.46166558095035e-09,0.980614449167206,0.912222957363983,0.600597516953026,0.0264523488573488,0,2.51825352958578,0.298944942630562,-61.4681320687206,0,0,0
1,104,321,918,284,80.426,0.55174,0,43.07704608,10.6949448,2.18484375252449e-07,1.37675288649494,1.00561176921528,0.447525513472527,1.33510012827269,0,3.0646236507751,0.356412393447717,-25.9225352671499,0,0,0
1,105,310,897,293,79.598,0.58113,0,43.07705305,10.69494115,1.51331696796359e-07,1.38740363091824,0.8547905321079,0.642500214983894,1.0448187757135,0,3.36136486073475,0.36868348462772,-40.3747869787782,0,0,0
1,106,299,876,189,67.012,0.52889,1,43.07706002,10.69493749,7.52809290699328e-08,2.24111023799042,1.13162482686804,1.54013862181644,1.55438276325364,0,5.58568271121229,0.663348464347646,56.4351211320016,0,0,0
1,107,288,855,202,67.941,0.54992,0,43.07706699,10.69493384,8.12825061384283e-09,2.06180963991567,0.958957274390337,1.36903765070704,1.29331665266889,0,5.61889684703258,0.669264364291077,38.1488864656341,0,0,0
1,108,278,834,260,75.841,0.56804,0,43.07707395,10.69493051,2.2115096186594e-07,1.44221346586998,0.739175198033468,0.716647166907539,0.975077785906252,0,4.61996260138702,0.631476578540214,-19.5917935774359,0,0,0
1,109,267,813,264,83.255,0.47862,0,43.07708092,10.69492686,1.53998283409879e-07,1.21411844310127,0.703043454650536,0.317103316772402,0.853075902338601,0,5.1723407302365,0.601000180270027,-18.9381920378616,0,0,0
1,110,256,792,240,68.77,0.63772,0,43.07708789,10.6949232,7.79475189258892e-08,1.0885164891881,0.6534800448528,1.46518377616111,0.270387251441893,0,5.95016697106022,0.688723316583089,11.1391352282934,0,0,0
1,111,245,771,135,61.941,0.44217,1,43.07709486,10.69491954,1.89675602255558e-09,1.60884740078781,0.891209071525012,2.08901370920389,0.70175404901964,0,7.49144799549855,1.00868800212185,124.552961398358,1,1,0
1,112,235,750,120,28.142,0.93616,1,43.07710182,10.69491622,2.23817550141328e-07,1.66134928001421,0.875934079644385,3.94784468139251,-0.899402017184856,0,7.72892481296047,1.0492772270914,150.162926574746,1,0,0
1,113,224,729,210,60.527,0.69632,0,43.07710879,10.69491256,1.47766783995528e-07,1.33913228816373,0.722057058978627,3.21872202725167,0.0337441575236659,0,4.57513704983824,0.742140874411828,72.4856101779853,0,0,0
1,114,213,708,343,80.912,0.65839,0,43.07711576,10.69490891,8.06141055394377e-08,0.601807319486464,0.351143561816404,1.03092982815323,0.140162732720891,0,2.52163089701727,0.385676237487713,-46.0808056374169,0,0,0
1,115,202,687,382,83.497,0.68854,0,43.07712272,10.69490525,0,0.312323679161406,0.272542215680963,0.687525758367571,0.0642596432349782,0,1.02046674277593,0.255952850204678,-68.1381387169549,0,0,0
1,116,192,666,440,86.912,0.73199,0,43.07712969,10.69490193,2.02016855056423e-07,0.1022610375206,0.0878806756362257,0.351257054786986,-0.0815726117199427,0,0.34770416288919,0.0812218310687888,-106.16684524777,0,0,0
